taxon_id	ab_id	original_name	algae	ab_empire	ab_kingdom	ab_phylum	ab_class	ab_subclass	ab_order	ab_family	link	world_distribution_summary
105617	56468	Stephanoeca apheles Thomsen, Buck & Chavez, 1991		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=56468	EUR 
105620	84078	Stephanoeca complexa (R.E.Norris) J.Throndsen		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=84078	EUR 
105622	141132	Stephanoeca cupula (Leadbeater) Thomsen		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=141132	EUR 
105623	56470	Stephanoeca diplocostata W.N.Ellis, 1930		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=56470	EUR 
105624	90024	Stephanoeca elegans (R.E.Norris) Throndsen		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=90024	EUR 
105625	99893	Stephanoeca kentii W.N.Ellis		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=99893	EUR 
105626	107619	Stephanoeca norrisii H.A.Thomsen		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=107619	EUR 
105631	126299	Stephanoeca urnula H.A.Thomsen		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=126299	EUR 
105633	32278	Codosiga botrytis Kent, 1880		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Craspedida	Codonosigidae	https://www.algaebase.org/search/species/detail/?species_id=32278	EUR SAM AFR 
105636	72608	Desmarella moniliformis W.S.Kent, 1878		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Craspedida	Codonosigidae	https://www.algaebase.org/search/species/detail/?species_id=72608	EUR NAM 
105643	56457	Monosiga marina Grøntved, 1952		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Craspedida	Codonosigidae	https://www.algaebase.org/search/species/detail/?species_id=56457	EUR 
105644	141058	Monosiga micropelagica Throndsen		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Craspedida	Codonosigidae	https://www.algaebase.org/search/species/detail/?species_id=141058	EUR 
105645	72766	Monosiga ovata Kent, 1881		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Craspedida	Codonosigidae	https://www.algaebase.org/search/species/detail/?species_id=72766	EUR NAM SAM 
105654	141107	Salpingoeca aggregata Valkanov		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Craspedida	Salpingoecidae	https://www.algaebase.org/search/species/detail/?species_id=141107	EUR 
105655	141108	Salpingoeca amphoridium Clark, 1867		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Craspedida	Salpingoecidae	https://www.algaebase.org/search/species/detail/?species_id=141108	EUR NAM SAM 
105661	141109	Salpingoeca collaris Stokes		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Craspedida	Salpingoecidae	https://www.algaebase.org/search/species/detail/?species_id=141109	EUR 
105668	141111	Salpingoeca inquillata Kent		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Craspedida	Salpingoecidae	https://www.algaebase.org/search/species/detail/?species_id=141111	EUR 
105671	141112	Salpingoeca marina James-Clark, 1868		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Craspedida	Salpingoecidae	https://www.algaebase.org/search/species/detail/?species_id=141112	EUR 
106292	32729	Chroomonas baltica (J.Büttner) N.Carter, 1937	Y	Eukaryota	Chromista	Cryptista	Cryptophyceae		Pyrenomonadales	Hemiselmidaceae	https://www.algaebase.org/search/species/detail/?species_id=32729	EUR AFR 
106295	69436	Chroomonas vectensis N.Carter, 1937	Y	Eukaryota	Chromista	Cryptista	Cryptophyceae		Pyrenomonadales	Hemiselmidaceae	https://www.algaebase.org/search/species/detail/?species_id=69436	EUR NAM 
106297	78802	Cryptomonas baltica (Karsten) Butcher, 1967	Y	Eukaryota	Chromista	Cryptista	Cryptophyceae		Cryptomonadales	Cryptomonadaceae	https://www.algaebase.org/search/species/detail/?species_id=78802	ATC ATL EUR ASI 
106303	46648	Plagioselmis prolonga Butcher ex G.Novarino, I.A.N.Lucas & S.Morrall, 1994	Y	Eukaryota	Chromista	Cryptista	Cryptophyceae		Pyrenomonadales	Geminigeraceae	https://www.algaebase.org/search/species/detail/?species_id=46648	EUR NAM MID ASI AUS 
106305	48349	Teleaulax acuta (Butcher) D.R.A.Hill, 1991	Y	Eukaryota	Chromista	Cryptista	Cryptophyceae		Pyrenomonadales	Geminigeraceae	https://www.algaebase.org/search/species/detail/?species_id=48349	EUR NAM SAM ASI AUS 
106306	48350	Teleaulax amphioxeia (W.Conrad) D.R.A.Hill, 1992	Y	Eukaryota	Chromista	Cryptista	Cryptophyceae		Pyrenomonadales	Geminigeraceae	https://www.algaebase.org/search/species/detail/?species_id=48350	EUR ASI 
106307	69465	Goniomonas amphinema Larsen & Patterson	Y	Eukaryota	Chromista	Cryptista	Goniomonadophyceae		Goniomonadales	Cyathomonadaceae	https://www.algaebase.org/search/species/detail/?species_id=69465	EUR 
106308	69464	Goniomonas pacifica J.Larsen & D.J.Patterson, 1990	Y	Eukaryota	Chromista	Cryptista	Goniomonadophyceae		Goniomonadales	Cyathomonadaceae	https://www.algaebase.org/search/species/detail/?species_id=69464	EUR 
106309	62317	Goniomonas truncata (Fresenius) Stein, 1878	Y	Eukaryota	Chromista	Cryptista	Goniomonadophyceae		Goniomonadales	Cyathomonadaceae	https://www.algaebase.org/search/species/detail/?species_id=62317	EUR SAM AUS 
106310	51669	Hemiselmis virescens Droop, 1955	Y	Eukaryota	Chromista	Cryptista	Cryptophyceae		Pyrenomonadales	Hemiselmidaceae	https://www.algaebase.org/search/species/detail/?species_id=51669	EUR 
106314	56401	Rhodomonas marina (P.A.Dangeard) Lemmermann, 1899	Y	Eukaryota	Chromista	Cryptista	Cryptophyceae		Pyrenomonadales	Pyrenomonadaceae	https://www.algaebase.org/search/species/detail/?species_id=56401	EUR 
106316	47300	Rhodomonas salina (Wislouch) D.R.A.Hill & R.Wetherbee, 1989	Y	Eukaryota	Chromista	Cryptista	Cryptophyceae		Pyrenomonadales	Pyrenomonadaceae	https://www.algaebase.org/search/species/detail/?species_id=47300	EUR SAM ASI AUS 
109578	52071	Amoebophrya ceratii (Koeppen) J.Cachon, 1964	Y	Eukaryota	Chromista	Dinoflagellata	Syndiniophyceae		Syndiniales	Amoebophryaceae	https://www.algaebase.org/search/species/detail/?species_id=52071	EUR NAM 
109583	52478	Kolkwitziella acuta (Apstein) Elbrächter, 1993	Y	Eukaryota	Chromista	Dinoflagellata	Dinophyceae	Peridiniphycidae	Peridiniales	Protoperidiniaceae	https://www.algaebase.org/search/species/detail/?species_id=52478	EUR MID 
109603	52217	Dinophysis acuminata Claparède & Lachmann, 1859	Y	Eukaryota	Chromista	Dinoflagellata	Dinophyceae		Dinophysales	Dinophysaceae	https://www.algaebase.org/search/species/detail/?species_id=52217	ATC ATL EUR NAM CAM WTA SAM MID SWS ASI AUS 
109604	52218	Dinophysis acuta Ehrenberg, 1839	Y	Eukaryota	Chromista	Dinoflagellata	Dinophyceae		Dinophysales	Dinophysaceae	https://www.algaebase.org/search/species/detail/?species_id=52218	EUR NAM MID SWS ASI AUS 
