strain	strain_link	taxa_link	class	environment	scientific_name
NIVA-CYA 12	https://norcca.scrol.net/strain/niva-cya-12	https://norcca.scrol.net/species/planktothrix-agardhii	Cyanophyceae	Freshwater	Planktothrix agardhii
NIVA-CYA 120	https://norcca.scrol.net/strain/niva-cya-120	https://norcca.scrol.net/species/arthrospira-maxima	Cyanophyceae	natron lake	Arthrospira maxima
NIVA-CYA 121	https://norcca.scrol.net/strain/niva-cya-121	https://norcca.scrol.net/species/pseudanabaena-redekei	Cyanophyceae	Freshwater	Pseudanabaena redekei
NIVA-CYA 122/1	https://norcca.scrol.net/strain/niva-cya-1221	https://norcca.scrol.net/species/microcystis-cf-viridis	Cyanophyceae	Freshwater	Microcystis cf. viridis
NIVA-CYA 122/2	https://norcca.scrol.net/strain/niva-cya-1222	https://norcca.scrol.net/species/microcystis-cf-viridis	Cyanophyceae	Freshwater	Microcystis cf. viridis
NIVA-CYA 122/3	https://norcca.scrol.net/strain/niva-cya-1223	https://norcca.scrol.net/species/microcystis-cf-viridis	Cyanophyceae	Freshwater	Microcystis cf. viridis
NIVA-CYA 123/1	https://norcca.scrol.net/strain/niva-cya-1231	https://norcca.scrol.net/species/microcystis-aeruginosa	Cyanophyceae	Freshwater	Microcystis aeruginosa
NIVA-CYA 124	https://norcca.scrol.net/strain/niva-cya-124	https://norcca.scrol.net/species/nostoc-sp	Cyanophyceae	Freshwater	Nostoc sp.
NIVA-CYA 125/1	https://norcca.scrol.net/strain/niva-cya-1251	https://norcca.scrol.net/species/tychonema-sp	Cyanophyceae	Freshwater	Tychonema sp.
NIVA-CYA 125/2	https://norcca.scrol.net/strain/niva-cya-1252	https://norcca.scrol.net/species/tychonema-sp	Cyanophyceae	Freshwater	Tychonema sp.
NIVA-CYA 125/3	https://norcca.scrol.net/strain/niva-cya-1253	https://norcca.scrol.net/species/tychonema-sp	Cyanophyceae	Freshwater	Tychonema sp.
NIVA-CYA 126	https://norcca.scrol.net/strain/niva-cya-126	https://norcca.scrol.net/species/planktothrix-agardhii	Cyanophyceae	Freshwater	Planktothrix agardhii
NIVA-CYA 128	https://norcca.scrol.net/strain/niva-cya-128	https://norcca.scrol.net/species/planktothrix-prolifica	Cyanophyceae	Freshwater	Planktothrix prolifica
NIVA-CYA 129	https://norcca.scrol.net/strain/niva-cya-129	https://norcca.scrol.net/species/planktothrix-prolifica	Cyanophyceae	Freshwater	Planktothrix prolifica
NIVA-CYA 13	https://norcca.scrol.net/strain/niva-cya-13	https://norcca.scrol.net/species/planktothrix-rubescens-var	Cyanophyceae	Freshwater	Planktothrix rubescens var.
NIVA-CYA 130	https://norcca.scrol.net/strain/niva-cya-130	https://norcca.scrol.net/species/nostoc-sp	Cyanophyceae	Terrestric	Nostoc sp.
NIVA-CYA 131	https://norcca.scrol.net/strain/niva-cya-131	https://norcca.scrol.net/species/scytonema-sp	Cyanophyceae	Freshwater	Scytonema sp.
NIVA-CYA 133	https://norcca.scrol.net/strain/niva-cya-133	https://norcca.scrol.net/species/planktothrix-mougeotii	Cyanophyceae	Lake	Planktothrix mougeotii
NIVA-CYA 134	https://norcca.scrol.net/strain/niva-cya-134	https://norcca.scrol.net/species/chroococcus-cf-minutus	Cyanophyceae	Lake	Chroococcus cf. minutus
NIVA-CYA 135/1	https://norcca.scrol.net/strain/niva-cya-1351	https://norcca.scrol.net/species/anabaenopsis-arnoldii	Cyanophyceae	Lake	Anabaenopsis arnoldii
NIVA-CYA 135/2	https://norcca.scrol.net/strain/niva-cya-1352	https://norcca.scrol.net/species/anabaenopsis-arnoldii	Cyanophyceae	Lake	Anabaenopsis arnoldii
NIVA-CYA 136/2	https://norcca.scrol.net/strain/niva-cya-1362	https://norcca.scrol.net/species/arthrospira-fusiformis	Cyanophyceae	Lake	Arthrospira fusiformis
NIVA-CYA 137	https://norcca.scrol.net/strain/niva-cya-137	https://norcca.scrol.net/species/planktothrix-mougeotii	Cyanophyceae	Lake	Planktothrix mougeotii
NIVA-CYA 138	https://norcca.scrol.net/strain/niva-cya-138	https://norcca.scrol.net/species/dolichospermum-flos-aquae	Cyanophyceae	Lake	Dolichospermum flos-aquae
NIVA-CYA 139	https://norcca.scrol.net/strain/niva-cya-139	https://norcca.scrol.net/species/dolichospermum-flos-aquae	Cyanophyceae	Lake	Dolichospermum flos-aquae
NIVA-CYA 14	https://norcca.scrol.net/strain/niva-cya-14	https://norcca.scrol.net/species/synechococcus-cf-rhodobaktron	Cyanophyceae	Freshwater	Synechococcus cf. rhodobaktron
NIVA-CYA 140	https://norcca.scrol.net/strain/niva-cya-140	https://norcca.scrol.net/species/microcystis-aeruginosa	Cyanophyceae	Freshwater	Microcystis aeruginosa
NIVA-CYA 141	https://norcca.scrol.net/strain/niva-cya-141	https://norcca.scrol.net/species/pseudanabaena-cf-brunnei	Cyanophyceae	Lake	Pseudanabaena cf. brunnei
NIVA-CYA 142	https://norcca.scrol.net/strain/niva-cya-142	https://norcca.scrol.net/species/aphanizomenon-flos-aquae	Cyanophyceae	Lake	Aphanizomenon flos-aquae
NIVA-CYA 144	https://norcca.scrol.net/strain/niva-cya-144	https://norcca.scrol.net/species/microcystis-cf-aeruginosa	Cyanophyceae	Lake	Microcystis cf. aeruginosa
NIVA-CYA 146	https://norcca.scrol.net/strain/niva-cya-146	https://norcca.scrol.net/species/pseudanabaena-catenata	Cyanophyceae	Freshwater	Pseudanabaena catenata
NIVA-CYA 147	https://norcca.scrol.net/strain/niva-cya-147	https://norcca.scrol.net/species/dolichospermum-danicum	Cyanophyceae	Lake	Dolichospermum danicum
