ScientificName	AphiaID	Match type	ScientificName	Authority	AphiaID_accepted	ScientificName_accepted	Authority_accepted	used_aphia_id	comment
Gyrodinium calyptroglyphe	663610	exact	Gyrodinium calyptroglyphe	Lebour, 1925	615516	Sclerodinium calyptroglyphe	(Lebour) J.D.Dodge, 1981	615516	
Dinophysis ovum	646201	exact	Dinophysis ovum	(F.Sch�tt) T.H.Ab�	646201	Dinophysis ovum	(F.Sch�tt) T.H.Ab�	646201	
Ceratium arcticum	156509	exact	Ceratium arcticum	(Ehrenberg) Cleve, 1901	156509	Ceratium arcticum	(Ehrenberg) Cleve, 1901	156509	
Ceratium inflatum	109958	exact	Ceratium inflatum	(Kofoid) E.G.Jørgensen, 1911	837455	Tripos inflatus	(Kofoid) F.Gómez, 2013	837455	
Gonyaulax spinifera	110041	exact	Gonyaulax spinifera	(Claparède & Lachmann) Diesing, 1866	110041	Gonyaulax spinifera	(Claparède & Lachmann) Diesing, 1866	110041	
Stephanodiscus tenuis	163420	exact	Stephanodiscus tenuis	Hustedt, 1939	971749	Stephanodiscus tenuis var. tenuis	Hustedt, 1939	971749	
Cyclotella comta	148910	exact	Cyclotella comta	(Ehrenberg) Ktzing, 1849	148910	Cyclotella comta	(Ehrenberg) Ktzing, 1849	148910	manually corrected
Cyclotella comta var. radiosa	163214	exact	Cyclotella comta var. radiosa	Grunow, 1882	984107	Cyclotella comta f. radiosa	Grunow in Van Heurck, 1882	984107	
Cyclotella kuetzingiana	418570	exact	Cyclotella kuetzingiana	Thwaites, 1848	1304212	Pantocsekiella kuetzingiana	(Thwaites, 1848) K.T. Kiss & Ács, 2016	1304212	
Cyclotella operculata	156651	exact	Cyclotella operculata	(C.Agardh) Brébisson, 1838	1325509	Epithemia operculata	(C.Agardh) Ruck & Nakov	1325509	
Cyclotella striata	148911	exact	Cyclotella striata	(Kützing) Grunow, 1880	148911	Cyclotella striata	(Kützing) Grunow, 1880	148911	
Discostella pseudostelligera	699561	exact	Discostella pseudostelligera	(Hustedt) Houk & Klee, 2004	148999	Cyclotella pseudostelligera	Hustedt, 1939	148999	
Thalassiosira antarctica	149099	exact	Thalassiosira antarctica	Comber, 1896	149099	Thalassiosira antarctica	Comber, 1896	149099	
Thalassiosira delicatula	555264	exact	Thalassiosira delicatula	Ostenfeld, 1908	555264	Thalassiosira delicatula	Ostenfeld, 1908	555264	
