Strain name	Species	Division	Class	Habitat	Strain Link	Species Link
NIVA-CYA 855	Planktothrix agardhii	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-855	https://norcca.scrol.net/species/planktothrix-agardhii
NIVA-CYA 86	Planktothrix agardhii	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-86	https://norcca.scrol.net/species/planktothrix-agardhii
NIVA-CYA 87	Planktothrix prolifica	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-87	https://norcca.scrol.net/species/planktothrix-prolifica
NIVA-CYA 88/1	Planktothrix mougeotii	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-881	https://norcca.scrol.net/species/planktothrix-mougeotii
NIVA-CYA 88/2	Planktothrix mougeotii	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-882	https://norcca.scrol.net/species/planktothrix-mougeotii
NIVA-CYA 88/3	Planktothrix mougeotii	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-883	https://norcca.scrol.net/species/planktothrix-mougeotii
NIVA-CYA 89/1	Planktothrix prolifica	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-891	https://norcca.scrol.net/species/planktothrix-prolifica
NIVA-CYA 89/3	Planktothrix prolifica	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-893	https://norcca.scrol.net/species/planktothrix-prolifica
NIVA-CYA 89/4	Planktothrix prolifica	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-894	https://norcca.scrol.net/species/planktothrix-prolifica
NIVA-CYA 89/5	Planktothrix prolifica	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-895	https://norcca.scrol.net/species/planktothrix-prolifica
NIVA-CYA 90	Planktothrix prolifica	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-90	https://norcca.scrol.net/species/planktothrix-prolifica
NIVA-CYA 91	Planktothrix mougeotii	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-91	https://norcca.scrol.net/species/planktothrix-mougeotii
NIVA-CYA 92	Kamptonema formosum	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-92	https://norcca.scrol.net/species/kamptonema-formosum
NIVA-CYA 93	Pseudanabaena sp.	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-93	https://norcca.scrol.net/species/pseudanabaena-sp
NIVA-CYA 94	Pseudanabaena sp.	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-94	https://norcca.scrol.net/species/pseudanabaena-sp
NIVA-CYA 95	Tychonema bornetii	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-95	https://norcca.scrol.net/species/tychonema-bornetii
NIVA-CYA 96/1	Tychonema bourrellyi	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-961	https://norcca.scrol.net/species/tychonema-bourrellyi
NIVA-CYA 96/3	Tychonema bourrellyi	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-963	https://norcca.scrol.net/species/tychonema-bourrellyi
NIVA-CYA 97/1	Planktothrix rubescens var.	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-971	https://norcca.scrol.net/species/planktothrix-rubescens-var
NIVA-CYA 97/3	Planktothrix rubescens var.	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-973	https://norcca.scrol.net/species/planktothrix-rubescens-var
NIVA-CYA 97/4	Planktothrix rubescens var.	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-974	https://norcca.scrol.net/species/planktothrix-rubescens-var
NIVA-CYA 97/5	Planktothrix rubescens var.	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-975	https://norcca.scrol.net/species/planktothrix-rubescens-var
NIVA-CYA 98	Planktothrix prolifica	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-98	https://norcca.scrol.net/species/planktothrix-prolifica
NIVA-CYA 99	Symploca sp.	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-99	https://norcca.scrol.net/species/symploca-sp
