Sökterm	Matchstatus	Taxon id	Status	Vetenskapligt namn	Auktor	Svenskt namn	Kategori	Svensk förekomst	Guid	Synonymer	Rike	Fylum	Klass	Ordning	Familj	Släkte	Art
Stauridium	Exakt	1016232	Accepterat	Stauridium	Corda		Släkte		urn:lsid: dyntaxa.se:Taxon: 1016232		Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Hydrodictyaceae		
Komma	Exakt	1010532	Accepterat	Komma	D.R.A.Hill		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010532		Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Chroomonadaceae		
Komma caudata	Exakt	238061	Accepterat	Komma caudata	(Geitler) D.R.A.Hill		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238061	Chroomonas acuta Butcher	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Chroomonadaceae	Komma	
Rhodomonas stigmatica	Exakt	238076	Accepterat	Rhodomonas stigmatica	(Wislouch) D.R.A.Hill		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238076		Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Pyrenomonadaceae	Rhodomonas	
Heterogloeales	Exakt	3000678	Accepterat	Heterogloeales			Ordning		urn:lsid: dyntaxa.se:Taxon: 3000678		Chromista	Gyrista	Synurophyceae				
Heterogloeaceae	Exakt	2003609	Accepterat	Heterogloeaceae	Fott ex P.C.Silva		Familj		urn:lsid: dyntaxa.se:Taxon: 2003609	Malleodendraceae 	Chromista	Gyrista	Synurophyceae	Heterogloeales			
Eurychasmataceae	Exakt	2003675	Accepterat	Eurychasmataceae	H.E.Petersen		Familj		urn:lsid: dyntaxa.se:Taxon: 2003675	Eurychasmaceae 	Chromista	Gyrista	Oomycetes	Myzocytiopsidales			
Arcocellulus cornucervis	Exakt	237479	Accepterat	Arcocellulus cornucervis	Hasle, von Stosch et Syvertsen, 1983		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237479		Chromista	Gyrista	Mediophyceae	Cymatosirales	Cymatosiraceae	Arcocellulus	
Attheya longicornis	Exakt	237294	Accepterat	Attheya longicornis	Crawford & Gardner		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237294		Chromista	Gyrista	Mediophyceae	Biddulphiales	Attheyaceae	Attheya	
Minutocellus polymorphus	Exakt	237476	Accepterat	Minutocellus polymorphus	(Hargraves et Guillard) Hasle, von Stosch et Syvertsen, 1983		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237476		Chromista	Gyrista	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	
Cerataulina bicornis	Exakt	237368	Accepterat	Cerataulina bicornis	(Ehrenberg) Hasle in Hasle & Sims, 1985		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237368		Chromista	Gyrista	Mediophyceae	Hemiaulales	Hemiaulaceae	Cerataulina	
Cerataulina dentata	Exakt	237369	Accepterat	Cerataulina dentata	Hasle in Hasle & Syvertsen, 1980		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237369		Chromista	Gyrista	Mediophyceae	Hemiaulales	Hemiaulaceae	Cerataulina	
Nitellopsis	Exakt	1006638	Accepterat	Nitellopsis	Hy	stjärnslinken	Släkte		urn:lsid: dyntaxa.se:Taxon: 1006638		Plantae		Charophyceae	Charales	Feistiellaceae		
Nitellopsis obtusa	Exakt	1093	Accepterat	Nitellopsis obtusa	(Desv.) J.Groves	stjärnslinke	Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 1093		Plantae		Charophyceae	Charales	Feistiellaceae	Nitellopsis	
Discostella	Exakt	1016154	Accepterat	Discostella	Houk & Klee		Släkte		urn:lsid: dyntaxa.se:Taxon: 1016154		Chromista	Gyrista	Mediophyceae	Stephanodiscales	Stephanodiscaceae		
Nitzschia linearis var. subtilis	Exakt	263018	Accepterat	Nitzschia subtilis	(Kütz.) Grunow		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 263018	"Synedra subtilis Kütz.;Nitzschia linearis var. subtilis Hust."	Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
