AphiaID	ScientificName	Authority	AphiaID_accepted	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	taxonRank	Genus	Subgenus	Species	Subspecies	taxonomicStatus	Unacceptreason	LSID
146590	Anabaenopsis	V.V.Miller, 1923	146590	Anabaenopsis	V.V.Miller, 1923	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nodulariaceae	Genus	Anabaenopsis				accepted		urn:lsid:marinespecies.org:taxname:146590
609458	Anabaenopsis arnoldii	Aptekar, 1926	609458	Anabaenopsis arnoldii	Aptekar, 1926	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nodulariaceae	Species	Anabaenopsis		arnoldii		accepted		urn:lsid:marinespecies.org:taxname:609458
618706	Anabaenopsis milleri	Woronichin, 1929	618706	Anabaenopsis milleri	Woronichin, 1929	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nodulariaceae	Species	Anabaenopsis		milleri		accepted		urn:lsid:marinespecies.org:taxname:618706
1313612	Anagnostidinema	Strunecký et al., 2017	1313612	Anagnostidinema	Strunecký et al., 2017	Bacteria	Cyanobacteria	Cyanophyceae	Coleofasciculales	Wilmottiaceae	Genus	Anagnostidinema				accepted		urn:lsid:marinespecies.org:taxname:1313612
1313613	Anagnostidinema amphibium	(C.Agardh ex Gomont) Strunecký, Bohunická, J.R.Johansen & J.Komárek, 2017	1313613	Anagnostidinema amphibium	(C.Agardh ex Gomont) Strunecký, Bohunická, J.R.Johansen & J.Komárek, 2017	Bacteria	Cyanobacteria	Cyanophyceae	Coleofasciculales	Wilmottiaceae	Species	Anagnostidinema		amphibium		accepted		urn:lsid:marinespecies.org:taxname:1313613
1315543	Anagnostidinema lemmermannii	(Wołoszyńska) Strunecky, Bohunická, J.R.Johansen, Capková, Raabová, P.Dvořák & Komárek, 2017	1315543	Anagnostidinema lemmermannii	(Wołoszyńska) Strunecky, Bohunická, J.R.Johansen, Capková, Raabová, P.Dvořák & Komárek, 2017	Bacteria	Cyanobacteria	Cyanophyceae	Coleofasciculales	Wilmottiaceae	Species	Anagnostidinema		lemmermannii		accepted		urn:lsid:marinespecies.org:taxname:1315543
836531	Annamia	L.T.T.Nguyen, 2013	836531	Annamia	L.T.T.Nguyen, 2013	Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Microcoleaceae	Genus	Annamia				accepted		urn:lsid:marinespecies.org:taxname:836531
838069	Annamia toxica	Nguyen, 2013	838069	Annamia toxica	Nguyen, 2013	Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Microcoleaceae	Species	Annamia		toxica		accepted		urn:lsid:marinespecies.org:taxname:838069
160567	Aphanizomenon	A.Morren ex Bornet & Flahault, 1888	160567	Aphanizomenon	A.Morren ex Bornet & Flahault, 1888	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Aphanizomenonaceae	Genus	Aphanizomenon				accepted		urn:lsid:marinespecies.org:taxname:160567
609460	Aphanizomenon flosaquae	Ralfs ex Bornet & Flahault, 1886	609460	Aphanizomenon flosaquae	Ralfs ex Bornet & Flahault, 1886	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Aphanizomenonaceae	Species	Aphanizomenon		flosaquae		accepted		urn:lsid:marinespecies.org:taxname:609460
248100	Aphanizomenon gracile	Lemmermann, 1907	248100	Aphanizomenon gracile	Lemmermann, 1907	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Aphanizomenonaceae	Species	Aphanizomenon		gracile		accepted		urn:lsid:marinespecies.org:taxname:248100
836361	Aphanizomenonaceae	Elenkin, 1938	836361	Aphanizomenonaceae	Elenkin, 1938	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Aphanizomenonaceae	Family					accepted		urn:lsid:marinespecies.org:taxname:836361
162385	Arthrospira	Sitzenberger ex Gomont, 1892	162385	Arthrospira	Sitzenberger ex Gomont, 1892	Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Microcoleaceae	Genus	Arthrospira				accepted		urn:lsid:marinespecies.org:taxname:162385
