Species in NORCCA	scientific_name	Link to NORCCA website	AphiaID	Match type
Coelocladia arctica	Coelocladia arctica	https://norcca.scrol.net/species/Coelocladia-arctica	145349	exact
Compsonema minutum	Compsonema minutum	https://norcca.scrol.net/species/Compsonema-minutum	145859	exact
Coolia monotis	Coolia monotis	https://norcca.scrol.net/species/Coolia-monotis	110130	exact
Coolia sp.				
Corethron sp.				
Corymbellus aureus	Corymbellus aureus	https://norcca.scrol.net/species/Corymbellus-aureus	162519	exact
Coscinodiscus concinnus	Coscinodiscus concinnus	https://norcca.scrol.net/species/Coscinodiscus-concinnus	148992	exact
Coscinodiscus granii	Coscinodiscus granii	https://norcca.scrol.net/species/Coscinodiscus-granii	149271	exact
Coscinodiscus radiatus	Coscinodiscus radiatus	https://norcca.scrol.net/species/Coscinodiscus-radiatus	149158	exact
Cosmarium obtusatum	Cosmarium obtusatum	https://norcca.scrol.net/species/Cosmarium-obtusatum	611104	exact
Cosmarium reniforme	Cosmarium reniforme	https://norcca.scrol.net/species/Cosmarium-reniforme	578406	exact
Cosmarium sp.				
Cosmarium subprotromidum	Cosmarium subprotromidum	https://norcca.scrol.net/species/Cosmarium-subprotromidum	608924	near_2
Cosmarium turpinii var. Eximium	Cosmarium turpinii var. Eximium	https://norcca.scrol.net/species/Cosmarium-turpinii-var-Eximium	611171	exact
Crucigenia tetrapedia	Crucigenia tetrapedia	https://norcca.scrol.net/species/Crucigenia-tetrapedia	178619	exact
Crustomastix stigmatica	Crustomastix stigmatica	https://norcca.scrol.net/species/Crustomastix-stigmatica	376127	exact
Cryptomonas pyrenoidifera	Cryptomonas pyrenoidifera	https://norcca.scrol.net/species/Cryptomonas-pyrenoidifera	572022	exact
Cryptomonas rostratiformis	Cryptomonas rostratiformis	https://norcca.scrol.net/species/Cryptomonas-rostratiformis	699405	exact
Cryptomonas sp.				
Cryptoperidiniopsis brodyi	Cryptoperidiniopsis brodyi	https://norcca.scrol.net/species/Cryptoperidiniopsis-brodyi	396512	exact
Cryptophyceae	Cryptophyceae	https://norcca.scrol.net/species/Cryptophyceae	17639	exact
Cuspidothrix issatschenkoi	Cuspidothrix issatschenkoi	https://norcca.scrol.net/species/Cuspidothrix-issatschenkoi	621617	exact
Cyanobium sp.				
Cyanocystis violacea	Cyanocystis violacea	https://norcca.scrol.net/species/Cyanocystis-violacea	178441	exact
Cyanophora paradoxa	Cyanophora paradoxa	https://norcca.scrol.net/species/Cyanophora-paradoxa	610203	exact
Cyanosarcina sp.				
Cyanothece aeruginosa	Cyanothece aeruginosa	https://norcca.scrol.net/species/Cyanothece-aeruginosa	578252	exact
Cyanothece sp.				
Cyclotella cf. glomerata	Cyclotella glomerata	https://norcca.scrol.net/species/Cyclotella-cf-glomerata	149260	exact
Cyclotella sp.				
Cylindrospermopsis raciborskii	Cylindrospermopsis raciborskii	https://norcca.scrol.net/species/Cylindrospermopsis-raciborskii	609461	exact
Cylindrospermopsis sp.				
Cylindrospermum sp.				
Cylindrotheca closterium	Cylindrotheca closterium	https://norcca.scrol.net/species/Cylindrotheca-closterium	149004	exact
Delamarea attenuata	Delamarea attenuata	https://norcca.scrol.net/species/Delamarea-attenuata	145317	exact
Dermatochrysis sp.				
Desmidium aptogonum	Desmidium aptogonum	https://norcca.scrol.net/species/Desmidium-aptogonum	608950	exact
Desmodesmus armatus	Desmodesmus armatus	https://norcca.scrol.net/species/Desmodesmus-armatus	612499	exact
Desmodesmus communis	Desmodesmus communis	https://norcca.scrol.net/species/Desmodesmus-communis	576237	exact
Desmodesmus serratus	Desmodesmus serratus	https://norcca.scrol.net/species/Desmodesmus-serratus	612513	exact
Desmodesmus spinosus	Desmodesmus spinosus	https://norcca.scrol.net/species/Desmodesmus-spinosus	612514	exact
Desmodesmus subspicatus	Desmodesmus subspicatus	https://norcca.scrol.net/species/Desmodesmus-subspicatus	612515	exact
Desmonostoc muscorum	Desmonostoc muscorum	https://norcca.scrol.net/species/Desmonostoc-muscorum	839172	exact
Detonula sp.				
Diacronema ennorea	Diacronema ennorea	https://norcca.scrol.net/species/Diacronema-ennorea	699620	exact
Diacronema lutheri	Diacronema lutheri	https://norcca.scrol.net/species/Diacronema-lutheri	590558	exact
Diacronema sp.				
Dichothrix sp.?				
Dicrateria rotunda	Dicrateria rotunda	https://norcca.scrol.net/species/Dicrateria-rotunda	840109	exact
Dicrateria sp.				
Dictyocha speculum	Dictyocha speculum	https://norcca.scrol.net/species/Dictyocha-speculum	157260	exact
Dictyosphaerium pulchellum var. minutum	Dictyosphaerium pulchellum var. minutum	https://norcca.scrol.net/species/Dictyosphaerium-pulchellum-var-minutum	673705	exact
Dictyosphaerium sp.				
Dinobryon cf. sertularia	Dinobryon sertularia	https://norcca.scrol.net/species/Dinobryon-cf-sertularia	157252	exact
Dinobryon divergens	Dinobryon divergens	https://norcca.scrol.net/species/Dinobryon-divergens	157248	exact
