scientific_name	authority	rank	aphia_id	url	parent_name	parent_id	status	valid_aphia_id	valid_name	valid_authority	kingdom	phylum	class	order	family	genus	classification
Bicosoeca ainikkii	Järnefelt, 1956	Species	103993	https://www.marinespecies.org/aphia.php?p=taxdetails&id=103993	Bicosoeca	601409	accepted	103993	Bicosoeca ainikkii	Järnefelt, 1956	Chromista	Bigyra	Bicoecea	Bicoecida	Bicosoecaceae	Bicosoeca	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Bicosoecaceae - [Genus] Bicosoeca - [Species] Bicosoeca ainikkii
Bicosoeca gracilipes	James-Clark, 1867	Species	103996	https://www.marinespecies.org/aphia.php?p=taxdetails&id=103996	Bicosoeca	601409	accepted	103996	Bicosoeca gracilipes	James-Clark, 1867	Chromista	Bigyra	Bicoecea	Bicoecida	Bicosoecaceae	Bicosoeca	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Bicosoecaceae - [Genus] Bicosoeca - [Species] Bicosoeca gracilipes
Bicosoeca lacustris	H.J.Clark, 1867	Species	103997	https://www.marinespecies.org/aphia.php?p=taxdetails&id=103997	Bicosoeca	601409	accepted	103997	Bicosoeca lacustris	H.J.Clark, 1867	Chromista	Bigyra	Bicoecea	Bicoecida	Bicosoecaceae	Bicosoeca	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Bicosoecaceae - [Genus] Bicosoeca - [Species] Bicosoeca lacustris
Bicosoeca maris	Picken, 1941	Species	103998	https://www.marinespecies.org/aphia.php?p=taxdetails&id=103998	Bicosoeca	601409	accepted	103998	Bicosoeca maris	Picken, 1941	Chromista	Bigyra	Bicoecea	Bicoecida	Bicosoecaceae	Bicosoeca	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Bicosoecaceae - [Genus] Bicosoeca - [Species] Bicosoeca maris
Bicosoeca mediterranea	Pavillard, 1916	Species	103999	https://www.marinespecies.org/aphia.php?p=taxdetails&id=103999	Bicosoeca	601409	accepted	103999	Bicosoeca mediterranea	Pavillard, 1916	Chromista	Bigyra	Bicoecea	Bicoecida	Bicosoecaceae	Bicosoeca	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Bicosoecaceae - [Genus] Bicosoeca - [Species] Bicosoeca mediterranea
Bicosoeca mignotii	Moestrup, Thomsen & Hibberd	Species	104000	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104000	Bicosoeca	601409	uncertain				Chromista	Bigyra	Bicoecea	Bicoecida	Bicosoecaceae	Bicosoeca	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Bicosoecaceae - [Genus] Bicosoeca - [Species] Bicosoeca mignotii
Bicosoeca petiolata	(F.Stein) E.G.Pringsheim, 1946	Species	104002	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104002	Bicosoeca	601409	accepted	104002	Bicosoeca petiolata	(F.Stein) E.G.Pringsheim, 1946	Chromista	Bigyra	Bicoecea	Bicoecida	Bicosoecaceae	Bicosoeca	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Bicosoecaceae - [Genus] Bicosoeca - [Species] Bicosoeca petiolata
Bicosoeca planctonica	Kisselev, 1931	Species	104003	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104003	Bicosoeca	601409	accepted	104003	Bicosoeca planctonica	Kisselev, 1931	Chromista	Bigyra	Bicoecea	Bicoecida	Bicosoecaceae	Bicosoeca	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Bicosoecaceae - [Genus] Bicosoeca - [Species] Bicosoeca planctonica
Cafeteria roenbergensis	Fenchel & D.J.Patterson, 1988	Species	104012	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104012	Cafeteria	103989	accepted	104012	Cafeteria roenbergensis	Fenchel & D.J.Patterson, 1988	Chromista	Bigyra	Bicosoecophyceae	Caecitellales	Cafeteriaceae	Cafeteria	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecophytina - [Class] Bicosoecophyceae - [Subclass] Bicosoecophycidae - [Order] Caecitellales - [Family] Cafeteriaceae - [Genus] Cafeteria - [Species] Cafeteria roenbergensis
Pseudobodo tremulans	Griessmann, 1913	Species	104015	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104015	Pseudobodo	103990	accepted	104015	Pseudobodo tremulans	Griessmann, 1913	Chromista	Bigyra	Bicosoecophyceae	Caecitellales	Cafeteriaceae	Pseudobodo	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecophytina - [Class] Bicosoecophyceae - [Subclass] Bicosoecophycidae - [Order] Caecitellales - [Family] Cafeteriaceae - [Genus] Pseudobodo - [Species] Pseudobodo tremulans
